County,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ottawa,35323,36057,36582,37060,37452,37004,38201,38403,38471,38326,37099,37700,38600,38500,39100,40100,39100,40000,40500,40500,40076,40087,39722,39666,39579,39557,39810,39654,39947,40081,40029,40061,40039,40193,40206,40466,40452,40689,40906,41017,40985,41015,41029,41329,41564,41629,41641,41690,41554,41498,41428
Paulding,16792,17018,17189,17340,17463,17604,17755,18106,18260,18487,19329,19800,19900,20200,20400,20800,20600,20800,21000,21300,21302,21184,20901,20874,20660,20677,20607,20766,20657,20658,20488,20362,20217,20395,20343,20405,20475,20530,20418,20414,20293,20183,19972,19887,19803,19810,19748,19735,19670,19659,19614
Perry,27864,27744,27618,27475,27334,27113,26878,27082,27350,27542,27434,28000,27900,30100,28900,30500,29800,30200,30900,30900,31032,31156,31371,31100,31193,31256,31146,31252,31240,31560,31557,31716,32189,32565,33051,33298,33668,33984,33945,33960,34078,34375,34629,34944,35117,35254,35430,35582,36150,35996,36058
Pickaway,35855,36878,37713,38475,39278,39936,40605,41239,41649,41960,40071,41400,42300,43100,43500,44300,44000,44100,44400,44100,43662,43399,42971,42534,42959,45305,45672,46195,47094,48335,48248,48835,50158,50992,51545,52253,52328,52554,53155,52492,52727,52344,51778,51983,52238,52954,54094,55044,55376,55323,55698
Pike,19380,19935,20355,20755,21126,21433,21780,21738,21690,21514,19114,19100,20300,20300,20400,21100,21400,21600,22100,22400,22802,23298,23737,23781,23535,23650,23435,23579,23802,24057,24249,24599,25127,25499,25844,26493,26712,27149,27297,27521,27695,27807,28072,28258,28427,28299,28590,28645,28763,28679,28709
Portage,91798,95758,98821,101713,104623,107650,110312,113095,113816,118240,125868,128800,129600,131300,132600,132700,133700,133500,134500,134300,135856,137468,138090,138332,138175,137932,138655,139247,141116,142255,142585,143981,145558,145729,146495,147895,149292,149959,150392,151388,152061,153554,154667,155976,156774,157469,157773,159148,160184,161226,161419
Preble,32498,33135,33673,34252,34716,35229,35641,36023,36891,36943,34719,35800,36100,35700,35500,36100,36500,36800,37200,37800,38223,38076,37883,38199,38747,38990,39153,39653,40002,40030,40113,40301,40623,40765,41065,41524,41902,42149,42179,42389,42337,42427,42587,42640,42613,42584,42651,42561,42688,42424,42270
Putnam,28331,28729,29045,29332,29568,29813,30046,30272,30477,31113,31134,31700,32600,32600,32600,33300,33700,33500,33200,34400,32991,33265,32962,32915,33067,33041,33227,33320,33609,33845,33819,34112,34300,34316,34565,34758,34761,34655,34799,34654,34726,34746,34643,34758,34680,34798,34781,34752,34655,34583,34499
Richland,117761,121142,123769,126285,128747,131047,113265,133974,134112,134516,129997,129400,130800,130900,130400,130900,131200,130500,130900,130200,131205,130465,129141,128066,128485,128181,127418,127345,127167,126590,126137,127040,127475,127792,128281,128217,128894,128868,128540,129233,128852,128187,128363,128312,128094,127724,127292,126995,126128,125308,124475
Ross,61215,62103,62772,63370,63980,64513,65037,65427,65582,65467,61211,60900,61700,61900,61500,62400,62300,63600,64600,64800,65004,65594,65649,66233,66985,67048,66738,67481,67973,69142,69330,70319,70949,71858,72283,72645,72990,73527,73835,73287,73345,73840,74363,75008,75251,75935,76639,77419,77675,77862,78064
