County,Year,Population
Miami,1972,86800
Monroe,1972,15500
Montgomery,1972,601400
Morgan,1972,13600
Morrow,1972,23600
Muskingum,1972,80800
Noble,1972,10700
Ottawa,1972,38600
Paulding,1972,19900
Perry,1972,27900
Pickaway,1972,42300
Pike,1972,20300
Portage,1972,129600
Preble,1972,36100
Putnam,1972,32600
Richland,1972,130800
Ross,1972,61700
Sandusky,1972,62700
Scioto,1972,79900
Seneca,1972,61600
Shelby,1972,38700
Stark,1972,372100
Summit,1972,547500
Trumbull,1972,247000
Tuscarawas,1972,78800
Union,1972,25000
Van Wert,1972,30000
Vinton,1972,10000
Warren,1972,86700
Washington,1972,58700
Wayne,1972,89500
Williams,1972,34700
Wood,1972,94600
Wyandot,1972,22800
Ohio,1973,10767000
Adams,1973,21800
Allen,1973,110200
Ashland,1973,44200
Ashtabula,1973,100400
Athens,1973,56100
Auglaize,1973,40400
Belmont,1973,82700
Brown,1973,29300
Butler,1973,236900
Carroll,1973,23300
Champaign,1973,30700
Clark,1973,157400
Clermont,1973,102800
Clinton,1973,32500
Columbiana,1973,111500
Coshocton,1973,35200
Crawford,1973,51800
Cuyahoga,1973,1643700
Darke,1973,52300
Defiance,1973,37400
Delaware,1973,47300
Erie,1973,78200
Fairfield,1973,79200
Fayette,1973,26600
Franklin,1973,860700
Fulton,1973,35300
Gallia,1973,26900
Geauga,1973,65800
Greene,1973,126600
Guernsey,1973,39900
Hamilton,1973,912100
Hancock,1973,63400
Hardin,1973,32500
Harrison,1973,17700
Henry,1973,28500
Highland,1973,30800
Hocking,1973,21400
Holmes,1973,25700
Huron,1973,52200
Jackson,1973,28700
Jefferson,1973,95800
Knox,1973,43200
Lake,1973,201700
Lawrence,1973,59900
Licking,1973,110900
Logan,1973,37000
Lorain,1973,264900
Lucas,1973,488500
Madison,1973,28300
Mahoning,1973,302600
Marion,1973,66500
Medina,1973,90000
Meigs,1973,21000
Mercer,1973,37300
Miami,1973,87900
Monroe,1973,16000
Montgomery,1973,591800
Morgan,1973,13400
Morrow,1973,24500
Muskingum,1973,80900
Noble,1973,10700
Ottawa,1973,38500
